Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,PHX,DEN,19920,24276,4356,2556,968,120,96,05:32 -> 06:44
T00,F01,C01,DEN,PHX,41448,45804,4356,2556,968,120,96,11:30 -> 12:43
T00,F02,C01,PHX,DEN,50813,55169,4356,2556,968,120,96,14:06 -> 15:19
T00,F03,C02,DEN,PHX,85552,89908,4356,2556,968,120,96,23:45 -> 00:58 (+1)
T01,F04,C03,PHX,ORD,19980,30388,10408,8608,2313,120,96,05:33 -> 08:26
T01,F05,C03,ORD,ATL,33058,37450,4392,2592,976,120,96,09:10 -> 10:24
T01,F06,C04,ATL,ORD,52287,56679,4392,2592,976,120,96,14:31 -> 15:44
T01,F07,C05,ORD,ATL,72915,77307,4392,2592,976,120,96,20:15 -> 21:28
T01,F08,C05,ATL,DFW,86688,91971,5283,3483,1174,120,96,00:04 (+1) -> 01:32 (+1)
T02,F09,C06,SEA,PHX,20640,28654,8014,6214,1781,120,96,05:44 -> 07:57
T02,F10,C07,PHX,DFW,44687,50955,6268,4468,1393,120,96,12:24 -> 14:09
T02,F11,C07,DFW,ATL,56175,61458,5283,3483,1174,120,96,15:36 -> 17:04
T02,F12,C07,ATL,ORD,73394,77786,4392,2592,976,120,96,20:23 -> 21:36
T03,F13,C08,MIA,JFK,20160,28066,7906,6106,1757,200,160,05:36 -> 07:47
T03,F14,C09,JFK,ATL,60046,65545,5499,3699,1222,200,160,16:40 -> 18:12
T03,F15,C10,ATL,JFK,87488,92987,5499,3699,1222,200,160,00:18 (+1) -> 01:49 (+1)
T04,F16,C11,DEN,PHX,20820,25176,4356,2556,968,120,96,05:47 -> 06:59
T04,F17,C12,PHX,DEN,52222,56578,4356,2556,968,120,96,14:30 -> 15:42
T04,F18,C13,DEN,PHX,81078,85434,4356,2556,968,120,96,22:31 -> 23:43
T05,F19,C14,ATL,IAH,20700,25681,4981,3181,1107,200,160,05:45 -> 07:08
T05,F20,C15,IAH,CLT,61106,67703,6597,4797,1466,200,160,16:58 -> 18:48
T05,F21,C15,CLT,JFK,75328,79243,3915,2115,870,200,160,20:55 -> 22:00
T06,F22,C16,SFO,LAS,20760,23748,2988,1188,664,120,96,05:46 -> 06:35
T06,F23,C16,LAS,ORD,37629,48568,10939,9139,2431,120,96,10:27 -> 13:29
T06,F24,C17,ORD,DFW,71193,76998,5805,4005,1290,120,96,19:46 -> 21:23
T07,F25,C18,SEA,SFO,20040,24958,4918,3118,1093,200,160,05:34 -> 06:55
T07,F26,C19,SFO,SEA,41330,46248,4918,3118,1093,200,160,11:28 -> 12:50
T07,F27,C20,SEA,DEN,77802,85204,7402,5602,1645,200,160,21:36 -> 23:40
T08,F28,C21,ATL,LAS,20820,33438,12618,10818,2804,160,128,05:47 -> 09:17
T08,F29,C21,LAS,ATL,46562,59180,12618,10818,2804,160,128,12:56 -> 16:26
T09,F30,C22,SEA,LAS,20820,27097,6277,4477,1395,120,96,05:47 -> 07:31
T09,F31,C22,LAS,ORD,37628,48567,10939,9139,2431,120,96,10:27 -> 13:29
T09,F32,C23,ORD,LAS,53213,64152,10939,9139,2431,120,96,14:46 -> 17:49
T09,F33,C23,LAS,DFW,66449,74072,7623,5823,1694,120,96,18:27 -> 20:34
T09,F34,C17,DFW,ORD,79616,85421,5805,4005,1290,120,96,22:06 -> 23:43
T10,F35,C24,ORD,JFK,20280,25621,5341,3541,1187,200,160,05:38 -> 07:07
T10,F36,C25,JFK,DFW,51450,61503,10053,8253,2234,200,160,14:17 -> 17:05
T10,F37,C25,DFW,ATL,73973,79256,5283,3483,1174,200,160,20:32 -> 22:00
T11,F38,C26,LAS,SFO,20160,23148,2988,1188,664,200,160,05:36 -> 06:25
T11,F39,C27,SFO,LAS,58311,61299,2988,1188,664,200,160,16:11 -> 17:01
T11,F40,C28,LAS,SFO,76687,79675,2988,1188,664,200,160,21:18 -> 22:07
T12,F41,C29,LAS,ORD,20220,31159,10939,9139,2431,160,128,05:37 -> 08:39
T12,F42,C16,ORD,CLT,56729,61067,4338,2538,964,160,128,15:45 -> 16:57
T12,F43,C30,CLT,PHX,63916,76732,12816,11016,2848,160,128,17:45 -> 21:18
T13,F44,C31,DFW,ATL,19860,25143,5283,3483,1174,120,96,05:31 -> 06:59
T13,F45,C31,ATL,LAS,37557,50175,12618,10818,2804,120,96,10:25 -> 13:56
T13,F46,C27,LAS,ATL,66208,78826,12618,10818,2804,120,96,18:23 -> 21:53
T13,F47,C27,ATL,DEN,80916,89583,8667,6867,1926,120,96,22:28 -> 00:53 (+1)
T14,F48,C32,SEA,ORD,20940,33364,12424,10624,2761,120,96,05:49 -> 09:16
T14,F49,C32,ORD,SEA,47029,59453,12424,10624,2761,120,96,13:03 -> 16:30
T14,F50,C33,SEA,DEN,84309,91711,7402,5602,1645,120,96,23:25 -> 01:28 (+1)
