Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,PHL,DEN,19920,31170,75
I01,F00-F01,PHL,ORD,19920,54759,11
I02,F01,DEN,ORD,48342,54759,52
I03,F02,ORD,DEN,59768,66185,85
I04,F03,DCA,MDW,20640,24978,85
I05,F04,MDW,DCA,46995,51333,75
I06,F05,DCA,MDW,63989,68327,85
I07,F06,BWI,ATL,20160,24331,78
I08,F06-F07,BWI,MDW,20160,48454,15
I09,F07,ATL,MDW,44175,48454,78
I10,F07-F08,ATL,LGA,44175,74394,13
I11,F08,MDW,LGA,69161,74394,115
I12,F09,BOS,DFW,21000,32290,88
I13,F10,DFW,BOS,58838,70128,128
I14,F11,MCO,ATL,20760,23685,110
I15,F06-F12,BWI,PHL,20160,40679,13
I16,F11-F12,MCO,PHL,20760,40679,19
I17,F12,ATL,PHL,35860,40679,113
I18,F13,PHL,DTW,71418,74694,160
I19,F14,DTW,PHL,77674,80950,160
I20,F15,DCA,BOS,20460,23344,125
I21,F16,BOS,DCA,28835,31719,141
I22,F04-F17,MDW,MSP,46995,68968,11
I23,F17,DCA,MSP,62245,68968,132
I24,F17-F18,DCA,DEN,62245,91732,17
I25,F18,MSP,DEN,86818,91732,143
I26,F19,DTW,DCA,20220,23149,85
I27,F16-F20,BOS,FLL,28835,49928,19
I28,F19-F20,DTW,FLL,20220,49928,11
I29,F20,DCA,FLL,43403,49928,46
I30,F20-F21,DCA,DFW,43403,77389,7
I31,F21,FLL,DFW,69298,77389,89
I32,F22,LGA,ORD,19800,25096,125
I33,F01-F23,DEN,ATL,48342,63936,10
I34,F23,ORD,ATL,59544,63936,103
I35,F23-F24,ORD,LAS,59544,82774,18
I36,F24,ATL,LAS,70156,82774,142
I37,F25,SFO,ORD,20760,34093,125
I38,F22-F26,LGA,SFO,19800,63399,19
I39,F26,ORD,SFO,50066,63399,141
I40,F27,ATL,DEN,20220,28887,160
I41,F00-F28,PHL,ATL,19920,45536,10
I42,F28,DEN,ATL,36869,45536,132
I43,F23-F29,ORD,MDW,59544,70460,15
I44,F28-F29,DEN,MDW,36869,70460,18
I45,F29,ATL,MDW,66181,70460,112
I46,F05-F30,DCA,SFO,63989,86766,11
I47,F07-F30,ATL,SFO,44175,86766,12
I48,F29-F30,ATL,SFO,66181,86766,15
I49,F30,MDW,SFO,73370,86766,122
I50,F31,CLT,BOS,20280,25545,113
I51,F15-F32,DCA,CLT,20460,44389,19
I52,F32,BOS,CLT,39124,44389,96
I53,F32-F33,BOS,JFK,39124,55563,13
I54,F33,CLT,JFK,51648,55563,90
I55,F33-F34,CLT,ATL,51648,72195,13
I56,F34,JFK,ATL,66696,72195,90
I57,F23-F35,ORD,MSP,59544,91572,14
I58,F34-F35,JFK,MSP,66696,91572,13
I59,F35,ATL,MSP,85007,91572,101
I60,F36,LAS,MSP,20760,30151,85
I61,F36-F37,LAS,MCO,20760,56208,11
I62,F37,MSP,MCO,46713,56208,85
I63,F38,MCO,MSP,71596,81091,96
I64,F39,BOS,DFW,20220,31510,100
I65,F09-F40,BOS,JFK,21000,67133,15
I66,F39-F40,BOS,JFK,20220,67133,15
I67,F40,DFW,JFK,57080,67133,87
I68,F33-F41,CLT,ORD,51648,75323,12
