Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,52,LAX,ORD,20280.00000176992,32888.99995881839,0.0,0.0,05:38 -> 09:08
I01,I01,F00-F01,F00-F01,11,LAX,ATL,20280.00000176992,58094.26216842663,2863.262168426627,537.6,05:38 -> 16:08
I02,I02,F01,F01,75,ORD,ATL,53702.26216988774,58094.26216842663,2863.262168426627,3665.7,14:55 -> 16:08
I03,I03,F02,F02,96,ATL,ORD,73715.0,78106.99999928432,0.0,0.0,20:28 -> 21:41
I04,I04,F03,F03,128,DFW,ATL,21309.079959908213,26401.684921536376,238.68492153637635,521.5,05:55 -> 07:20
I05,I05,F04,F04,88,ATL,DFW,32157.38683717189,37440.38683162528,3148.3868316252774,4729.4,08:55 -> 10:24
I06,I06,F04-F05,F04-F05,15,ATL,LAX,32157.38683717189,63531.0,0.0,0.0,08:55 -> 17:38
I07,I07,F05,F05,113,DFW,LAX,54608.00000159252,63531.0,0.0,0.0,15:10 -> 17:38
I08,I08,F06,F06,128,LAX,DFW,72738.0,81660.9999984074,0.0,0.0,20:12 -> 22:41
I09,I09,F07,F07,66,DEN,ORD,20602.11796394472,27019.117946376875,382.1179463768749,430.5,05:43 -> 07:30
I10,I10,F00-F08,F00-F08,10,LAX,SFO,20280.00000176992,74335.99999462883,0.0,0.0,05:38 -> 20:38
I11,I11,F08,F08,86,ORD,SFO,61003.0,74335.99999462883,0.0,0.0,16:56 -> 20:38
I12,I12,F09,F09,160,JFK,DEN,19980.00000136504,31719.999820128025,0.0,0.0,05:33 -> 08:48
I13,I13,F10,F10,160,DEN,JFK,76549.47261888992,87395.47261933034,8850.472619330336,24172.4,21:15 -> 00:16 (+1)
I14,I14,F11,F11,113,CLT,JFK,20760.000000581073,24674.999999773707,0.0,0.0,05:46 -> 06:51
I15,I15,F11-F12,F11-F12,15,CLT,ATL,20760.000000581073,61076.04053774171,12679.040537741712,3246.5,05:46 -> 16:57
I16,I16,F12,F12,100,JFK,ATL,55745.38577494978,61076.04053774171,12679.040537741712,21643.1,15:29 -> 16:57
I17,I17,F01-F13,F01-F13,10,ORD,LAS,53702.26216988774,85548.99999510836,0.0,0.0,14:55 -> 23:45
I18,I18,F12-F13,F12-F13,13,JFK,LAS,55745.38577494978,85548.99999510836,0.0,0.0,15:29 -> 23:45
I19,I19,F13,F13,105,ATL,LAS,72931.0,85548.99999510836,0.0,0.0,20:15 -> 23:45
I20,I32,F14,F20,38,LAS,ORD,26055.674203467894,36662.15393095512,5683.153930955123,3686.4,07:14 -> 10:11
I21,I21,F00-F15,F00-F15,9,LAX,DFW,20280.00000176992,51972.99999943534,0.0,0.0,05:38 -> 14:26
I22,I22,F07-F15,F07-F15,11,DEN,DFW,20602.11796394472,51972.99999943534,0.0,0.0,05:43 -> 14:26
I23,I23,F14-F15,F14-F15,19,LAS,DFW,26055.674203467894,51972.99999943534,0.0,0.0,07:14 -> 14:26
I24,I24,F15,F15,84,ORD,DFW,46168.0,51972.99999943534,0.0,0.0,12:49 -> 14:26
I25,I25,F04-F16,F04-F16,13,ATL,LAS,32157.38683717189,62882.99994620856,0.0,0.0,08:55 -> 17:28
I26,I26,F15-F16,F15-F16,14,ORD,LAS,46168.0,62882.99994620856,0.0,0.0,12:49 -> 17:28
I27,I27,F16,F16,133,DFW,LAS,55260.0000006378,62882.99994620856,0.0,0.0,15:21 -> 17:28
I28,I28,F17,F17,160,LAS,DFW,86220.91918986359,93319.91919059132,727.9191905913176,1988.1,23:57 -> 01:55 (+1)
I29,I29,F18,F18,160,LAS,DFW,20220.00000063798,27842.99994617723,0.0,0.0,05:37 -> 07:44
I30,I30,F15-F19,F15-F19,12,ORD,ATL,46168.0,63908.999999018284,0.0,0.0,12:49 -> 17:45
I31,I31,F19,F19,148,DFW,ATL,58626.0,63908.999999018284,0.0,0.0,16:17 -> 17:45
I32,I20,F20,F14,125,LAS,ORD,20040.00000111612,30918.999903223452,0.0,0.0,05:34 -> 08:35
I32,I32,F20,F20,75,LAS,ORD,20040.00000111612,30918.999903223452,0.0,0.0,05:34 -> 08:35
I33,I33,F00-F21,F00-F21,7,LAX,LAS,20280.00000176992,58289.99988692957,0.0,0.0,05:38 -> 16:11
I34,I34,F07-F21,F07-F21,10,DEN,LAS,20602.11796394472,58289.99988692957,0.0,0.0,05:43 -> 16:11
I35,I35,F21,F21,111,ORD,LAS,47351.00000120801,58289.99988692957,0.0,0.0,13:09 -> 16:11
I36,I36,F22,F22,125,SFO,DEN,27977.116148688423,34495.116148925474,6811.116148925474,14533.2,07:46 -> 09:34
I37,I37,F22-F23,F22-F23,19,SFO,ORD,27977.116148688423,42297.11615075484,6342.116150754839,2056.9,07:46 -> 11:44
I38,I38,F23,F23,125,DEN,ORD,36295.116148925474,42297.11615075484,6342.116150754839,13532.5,10:04 -> 11:44
I39,I39,F00-F24,F00-F24,7,LAX,CLT,20280.00000176992,53416.999999254236,0.0,0.0,05:38 -> 14:50
I40,I40,F07-F24,F07-F24,9,DEN,CLT,20602.11796394472,53416.999999254236,0.0,0.0,05:43 -> 14:50
I41,I41,F14-F24,F14-F24,16,LAS,CLT,26055.674203467894,53416.999999254236,0.0,0.0,07:14 -> 14:50
I41,I42,F14-F24,F20-F24,15,LAS,CLT,26055.674203467894,53416.999999254236,0.0,0.0,07:14 -> 14:50
I43,I43,F23-F24,F23-F24,16,DEN,CLT,36295.116148925474,53416.999999254236,0.0,0.0,10:04 -> 14:50
I44,I44,F24,F24,86,ORD,CLT,49079.00000036381,53416.999999254236,0.0,0.0,13:37 -> 14:50
I45,I45,F24-F25,F24-F25,11,ORD,DEN,49079.00000036381,86611.9999970174,0.0,0.0,13:37 -> 00:03 (+1)
I46,I46,F25,F25,149,CLT,DEN,76946.0,86611.9999970174,0.0,0.0,21:22 -> 00:03 (+1)
I47,I47,F26,F26,113,ATL,DEN,19920.00000083139,28586.999956357817,0.0,0.0,05:32 -> 07:56
I49,I49,F26-F27,F26-F27,15,ATL,CLT,19920.00000083139,40549.99994843949,0.0,0.0,05:32 -> 11:15
I50,I50,F27,F27,86,DEN,CLT,30884.000000992328,40549.99994843949,0.0,0.0,08:34 -> 11:15
I51,I51,F27-F28,F27-F28,11,DEN,DFW,30884.000000992328,52856.999984272225,0.0,0.0,08:34 -> 14:40
I52,I52,F28,F28,117,CLT,DFW,46094.00000058071,52856.999984272225,0.0,0.0,12:48 -> 14:40
I53,I53,F04-F29,F04-F29,12,ATL,CLT,32157.38683717189,63796.999999114676,0.0,0.0,08:55 -> 17:43
I54,I54,F15-F29,F15-F29,11,ORD,CLT,46168.0,63796.999999114676,0.0,0.0,12:49 -> 17:43
I55,I55,F29,F29,105,DFW,CLT,57034.000001016095,63796.999999114676,0.0,0.0,15:50 -> 17:43
I56,I56,F30,F30,128,CLT,DFW,83633.0,90395.99999916735,0.0,0.0,23:13 -> 01:06 (+1)
I57,I48,F22-F23-F24,F22-F27,16,SFO,CLT,27977.116148688423,53416.999999254236,12866.999999254236,3514.2,07:46 -> 14:50
