index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,LAX,ORD,20280.00000176992,32888.99995881839,12608.999957048472,10808.999955403238,2802,120,96,05:38 -> 09:08,,0
1,T00,F01,C01,ORD,ATL,53702.26216988774,58094.26216842663,4391.999998538886,2591.999998236654,976,120,96,14:55 -> 16:08,00:47,1
2,T00,F02,C02,ATL,ORD,73715.0,78106.99999928432,4391.999999284322,2591.9999992843223,976,120,96,20:28 -> 21:41,,0
3,T01,F03,C03,DFW,ATL,21309.079959908213,26401.684921536376,5092.604961628163,3292.6049613721316,1174,160,128,05:55 -> 07:20,00:03,1
4,T01,F04,C03,ATL,DFW,32157.38683717189,37440.38683162528,5282.999994453388,3482.9999837360597,1174,160,128,08:55 -> 10:24,00:52,1
5,T01,F05,C04,DFW,LAX,54608.00000159252,63531.0,8922.999998407482,7122.999993221705,1983,160,128,15:10 -> 17:38,,0
6,T01,F06,C04,LAX,DFW,72738.0,81660.9999984074,8922.999998407395,7122.999993226773,1983,160,128,20:12 -> 22:41,,0
7,T02,F07,C05,DEN,ORD,20602.11796394472,27019.117946376875,6416.999982432157,4616.999981972854,1426,120,96,05:43 -> 07:30,00:06,1
8,T02,F08,C06,ORD,SFO,61003.0,74335.99999462883,13332.99999462883,11532.999994628834,2963,120,96,16:56 -> 20:38,,0
9,T03,F09,C07,JFK,DEN,19980.00000136504,31719.999820128025,11739.999818762986,9939.999817456574,2609,200,160,05:33 -> 08:48,,0
10,T03,F10,C08,DEN,JFK,76549.47261888992,87395.47261933034,10846.000000440414,9046.000000057511,2609,200,160,21:15 -> 00:16 (+1),02:27,1
11,T04,F11,C09,CLT,JFK,20760.000000581073,24674.999999773707,3914.9999991926343,2114.99999873791,870,160,128,05:46 -> 06:51,,0
12,T04,F12,C10,JFK,ATL,55745.38577494978,61076.04053774171,5330.654762791935,3530.654762506963,1222,160,128,15:29 -> 16:57,03:31,1
13,T04,F13,C11,ATL,LAS,72931.0,85548.99999510836,12617.99999510836,10817.99999510836,2804,160,128,20:15 -> 23:45,,0
14,T05,F20,C16,LAS,ORD,20040.00000111612,30918.999903223452,10878.99990210733,9078.999897177862,2431,200,200,05:34 -> 08:35,,0
15,T05,F15,C00,ORD,DFW,46168.0,51972.99999943534,5804.999999435342,4004.9999961194453,1290,200,160,12:49 -> 14:26,,0
16,T05,F16,C00,DFW,LAS,55260.0000006378,62882.99994620856,7622.999945570758,5822.999941795361,1694,200,160,15:21 -> 17:28,,0
17,T05,F17,C13,LAS,DFW,86220.91918986359,93319.91919059132,7099.000000727727,5298.99999926215,1694,200,160,23:57 -> 01:55 (+1),00:12,1
18,T06,F18,C14,LAS,DFW,20220.00000063798,27842.99994617723,7622.99994553925,5822.999942684014,1694,200,160,05:37 -> 07:44,,0
19,T06,F19,C15,DFW,ATL,58626.0,63908.999999018284,5282.999999018284,3482.999999018284,1174,200,160,16:17 -> 17:45,,0
20,T07,F14,C12,LAS,ORD,26055.674203467894,36662.15393095512,10606.479727487229,8806.47972352121,2431,160,88,07:14 -> 10:11,01:35,1
21,T07,F21,C17,ORD,LAS,47351.00000120801,58289.99988692957,10938.999885721554,9138.999880496418,2431,160,128,13:09 -> 16:11,,0
22,T08,F22,C18,SFO,DEN,27977.116148688423,34495.116148925474,6518.000000237051,4717.999999985848,1552,200,160,07:46 -> 09:34,01:53,1
23,T08,F23,C18,DEN,ORD,36295.116148925474,42297.11615075484,6002.000001829365,4202.0000005267675,1426,200,176,10:04 -> 11:44,01:45,2
24,T08,F24,C18,ORD,CLT,49079.00000036381,53416.999999254236,4337.999998890424,2537.9999976513996,964,200,176,13:37 -> 14:50,,0
25,T08,F25,C19,CLT,DEN,76946.0,86611.9999970174,9665.999997017396,7865.999997017396,2148,200,160,21:22 -> 00:03 (+1),,0
26,T09,F26,C20,ATL,DEN,19920.00000083139,28586.999956357817,8666.999955526426,6866.999954312974,1926,160,128,05:32 -> 07:56,,0
27,T09,F27,C20,DEN,CLT,30884.000000992328,40549.99994843949,9665.999947447159,7865.9999445369085,2148,160,112,08:34 -> 11:15,,0
28,T09,F28,C20,CLT,DFW,46094.00000058071,52856.999984272225,6762.999983691516,4962.9999819838995,1503,160,128,12:48 -> 14:40,,0
29,T09,F29,C21,DFW,CLT,57034.000001016095,63796.999999114676,6762.999998098581,4962.99999419451,1503,160,128,15:50 -> 17:43,,0
30,T09,F30,C22,CLT,DFW,83633.0,90395.99999916735,6762.999999167354,4962.9999963879745,1503,160,128,23:13 -> 01:06 (+1),,0
