index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,PHL,MIA,19920.000003231886,27272.99999314491,7352.9999899130235,5552.999985554518,1634,120,96,05:32 -> 07:34,,0
1,T00,F01,C01,MIA,MSP,44445.0,55325.99999356247,10880.999993562473,9080.99998502738,2418,120,96,12:20 -> 15:22,,0
2,T00,F02,C01,MSP,MIA,60335.00000385644,71215.99982629623,10880.999822439793,9080.999812002416,2418,120,96,16:45 -> 19:46,,0
3,T01,F03,C02,EWR,ATL,20280.000002208057,25674.999995825103,5394.999993617046,3594.9999895304286,1199,120,96,05:38 -> 07:07,,0
4,T01,F04,C03,ATL,EWR,59803.0,65197.99999807022,5394.99999807022,3594.9999955077838,1199,120,96,16:36 -> 18:06,,0
5,T01,F05,C03,EWR,DFW,67868.00000572814,77785.99999376955,9917.99998804141,8117.999977462129,2204,120,96,18:51 -> 21:36,,0
6,T02,F06,C04,ATL,MIA,20760.000001857927,25075.00000017233,4314.999998314404,2514.999995916837,959,160,128,05:46 -> 06:57,,0
7,T02,F50,C00,MIA,ATL,48984.38577494978,53299.38577360512,4314.999998655345,2514.999995845108,959,160,56,13:36 -> 14:48,03:34,1
8,T02,F08,C05,ATL,MIA,57841.00000163712,62155.99999997333,4314.999998336214,2514.9999948630702,959,160,128,16:04 -> 17:15,,0
9,T02,F09,C01,MIA,ATL,79674.00000172773,83989.00000023219,4314.999998504456,2514.9999942823165,959,160,128,22:07 -> 23:19,,0
10,T02,F10,C06,ATL,DFW,86523.00000430188,91806.00000101166,5282.999996709783,3482.999994845692,1174,160,128,00:02 (+1) -> 01:30 (+1),,0
11,T03,F11,C07,PHX,DEN,19980.000001491055,24335.99999913184,4355.999997640785,2555.9999960632044,968,200,160,05:33 -> 06:45,,0
12,T03,F12,C08,DEN,PHL,59421.00001209221,70671.0,11249.999987907788,9449.999987907791,2500,200,160,16:30 -> 19:37,,0
13,T04,F13,C09,PHL,MIA,20700.000002054247,28052.999959375513,7352.999957321266,5552.999953985875,1634,160,128,05:45 -> 07:47,,0
14,T04,F14,C10,MIA,PHL,49996.0,57348.999994365564,7352.999994365564,5552.999994365562,1634,160,128,13:53 -> 15:55,,0
15,T04,F15,C10,PHL,CLT,67450.0,70693.99999897774,3243.9999989777425,1443.9999989777373,721,160,128,18:44 -> 19:38,,0
16,T04,F16,C10,CLT,EWR,78410.0,82234.99999835216,3824.9999983521557,2024.999998352158,850,160,128,21:46 -> 22:50,,0
17,T05,F17,C11,DFW,JFK,29844.472618889922,39155.472622281544,9311.000003391622,7510.99999863683,2234,200,160,08:17 -> 10:52,02:30,1
18,T05,F18,C12,JFK,DFW,48700.0,58752.999994435326,10052.999994435326,8252.999976831945,2234,200,160,13:31 -> 16:19,,0
19,T05,F19,C12,DFW,MCO,62040.0,69159.0,7119.0,5318.99999325184,1582,200,160,17:14 -> 19:12,,0
20,T06,F20,C13,CLT,MCO,19800.000001678523,23197.00000062064,3396.999998942116,1596.9999972142925,755,200,160,05:30 -> 06:26,,0
21,T06,F21,C14,MCO,CLT,54418.0,57815.0,3397.0,1596.999998541858,755,200,160,15:06 -> 16:03,,0
22,T06,F22,C15,CLT,MCO,77185.0,80582.0,3397.0,1596.999998541858,755,200,160,21:26 -> 22:23,,0
23,T07,F49,C35,ATL,MIA,20400.000001642722,24714.99999952288,4314.999997880157,2514.99999536194,959,200,128,05:40 -> 06:51,,0
24,T07,F07,C05,MIA,ATL,43831.00000072681,48145.99998624383,4314.999985517017,2514.999982993026,959,200,200,12:10 -> 13:22,,0
25,T07,F25,C18,ATL,MIA,82127.0,86441.99999885373,4314.999998853731,2514.999996860891,959,200,160,22:48 -> 00:00 (+1),,0
26,T08,F26,C19,DTW,LAS,20580.000005236543,33215.99980507702,12635.99979984048,10835.999788604964,2808,120,96,05:43 -> 09:13,,0
27,T08,F27,C19,LAS,DFW,46851.0000030539,54473.999991503406,7622.999988449505,5822.999984112833,1694,120,96,13:00 -> 15:07,,0
28,T08,F28,C20,DFW,LAX,77219.0,86142.0,8923.0,7122.9999921101735,1983,120,96,21:26 -> 23:55,,0
29,T09,F29,C21,DEN,IAH,19920.00000173185,26160.99998697106,6240.99998523921,4440.999981606639,1387,200,160,05:32 -> 07:16,,0
30,T09,F30,C22,IAH,DEN,55883.0,62123.99999752103,6240.99999752103,4440.999993359853,1387,200,160,15:31 -> 17:15,,0
31,T10,F31,C23,EWR,IAH,19800.000003730915,29924.99993629698,10124.999932566065,8324.999431732935,2250,120,96,05:30 -> 08:18,,0
32,T10,F32,C23,IAH,SFO,44126.234629343046,55046.23463715512,10920.000007812072,9120.000003074416,2627,120,96,12:15 -> 15:17,00:38,1
33,T10,F33,C24,SFO,IAH,64460.0,76281.0,11821.0,10020.999980207042,2627,120,96,17:54 -> 21:11,,0
34,T11,F34,C25,PHX,MCO,20640.000005662605,33999.999416568506,13359.9994109059,11559.999401087323,2969,200,160,05:44 -> 09:26,,0
35,T11,F35,C25,MCO,IAH,39705.000001524226,45878.99997525247,6173.9999737282415,4373.999965317474,1372,200,160,11:01 -> 12:44,,0
36,T11,F36,C26,IAH,MCO,74909.0,81082.99999772677,6173.999997726773,4373.99999496714,1372,200,160,20:48 -> 22:31,,0
37,T12,F37,C27,MCO,PHX,19800.000005609152,33159.99933094333,13359.999325334175,11559.999311820846,2969,200,160,05:30 -> 09:12,,0
38,T12,F38,C27,PHX,DFW,36168.00000168215,42435.99998596121,6267.999984279057,4467.999976025461,1393,200,160,10:02 -> 11:47,,0
