Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,75,PHL,ATL,19920.000001023473,24739.000000285203,2.8520298656076193e-07,0.0,05:32 -> 06:52
I01,I01,F00-F01,F00-F01,11,PHL,ORD,19920.000001023473,47417.66181080358,1114.6618108035764,209.3,05:32 -> 13:10
I01,I139,F00-F01,F00-F87,10,PHL,ORD,19920.000001023473,47417.66181080358,4097.661810803576,699.5,05:32 -> 13:10
I02,I02,F01,F01,59,ATL,ORD,43054.073627167774,47417.66181080358,1114.6618108035764,1122.6,11:57 -> 13:10
I02,I141,F01,F87,70,ATL,ORD,43054.073627167774,47417.66181080358,4097.661810803576,4896.3,11:57 -> 13:10
I03,I03,F02,F02,66,ORD,ATL,51312.00000115973,55704.000000725464,7.254639058373868e-07,0.0,14:15 -> 15:28
I04,I04,F03,F03,96,ATL,ORD,86087.00000078333,90479.0,0.0,0.0,23:54 -> 01:07 (+1)
I05,I05,F04,F04,85,PHL,TPA,19980.000000917164,26648.999997906903,0.0,0.0,05:33 -> 07:24
I06,I06,F04-F05,F04-F05,11,PHL,DFW,19980.000000917164,36032.99999659411,0.0,0.0,05:33 -> 10:00
I07,I07,F05,F05,85,TPA,DFW,29319.000000819156,36032.99999659411,0.0,0.0,08:08 -> 10:00
I08,I08,F06,F06,96,DFW,TPA,50870.0,57584.0,0.0,0.0,14:07 -> 15:59
I09,I09,F07,F07,96,TPA,DFW,73820.0,80534.0,0.0,0.0,20:30 -> 22:22
I10,I10,F08,F08,75,IAH,EWR,20220.000001334945,30344.999962281734,0.0,0.0,05:37 -> 08:25
I100,I100,F67,F67,85,DEN,ORD,27833.278085976235,34080.671332975246,7683.671332975246,11148.6,07:43 -> 09:28
I102,I102,F42-F68,F42-F68,10,SFO,MCO,36261.00000214701,63067.999998775216,0.0,0.0,10:04 -> 17:31
I103,I103,F68,F68,70,ORD,MCO,55778.00000158518,63067.999998775216,0.0,0.0,15:29 -> 17:31
I104,I104,F09-F69,F09-F69,11,EWR,JFK,64711.0,90528.99999812146,0.0,0.0,17:58 -> 01:08 (+1)
I105,I105,F68-F69,F68-F69,9,ORD,JFK,55778.00000158518,90528.99999812146,0.0,0.0,15:29 -> 01:08 (+1)
I106,I106,F69,F69,76,MCO,JFK,83685.0,90528.99999812146,0.0,0.0,23:14 -> 01:08 (+1)
I107,I107,F70,F70,128,MDW,MCO,20940.00000071234,28116.999975303137,0.0,0.0,05:49 -> 07:48
I108,I108,F71,F71,113,MCO,MDW,54212.61552321453,60906.615528274844,10182.615528274844,19641.3,15:03 -> 16:55
I109,I109,F71-F72,F71-F72,15,MCO,DFW,54212.61552321453,69150.0,0.0,0.0,15:03 -> 19:12
I11,I11,F09,F09,85,EWR,MCO,64711.0,71505.99999788225,0.0,0.0,17:58 -> 19:51
I110,I110,F72,F72,100,MDW,DFW,63377.0,69150.0,0.0,0.0,17:36 -> 19:12
I111,I111,F11-F73,F11-F73,15,CLT,LAX,51044.00000127452,88425.0,0.0,0.0,14:10 -> 00:33 (+1)
I112,I112,F21-F73,F21-F73,19,JFK,LAX,62479.0,88425.0,0.0,0.0,17:21 -> 00:33 (+1)
I113,I113,F38-F73,F38-F73,10,ATL,LAX,58793.00000094818,88425.0,0.0,0.0,16:19 -> 00:33 (+1)
I114,I114,F72-F73,F72-F73,13,MDW,LAX,63377.0,88425.0,0.0,0.0,17:36 -> 00:33 (+1)
I115,I115,F73,F73,71,DFW,LAX,79502.00000301313,88425.0,0.0,0.0,22:05 -> 00:33 (+1)
I116,I116,F74,F74,128,LAS,ORD,20100.00000141602,31038.99986752544,0.0,0.0,05:35 -> 08:37
I117,I117,F25-F75,F25-F75,13,ATL,LAS,20820.000000768123,52203.999897075206,0.0,0.0,05:47 -> 14:30
I118,I118,F67-F75,F67-F75,11,DEN,LAS,27833.278085976235,52203.999897075206,0.0,0.0,07:43 -> 14:30
I119,I119,F75,F75,81,ORD,LAS,41265.00000146784,52203.999897075206,0.0,0.0,11:27 -> 14:30
I12,I12,F10,F10,141,MDW,CLT,20340.0,24570.0,0.0,0.0,05:39 -> 06:49
I120,I120,F75-F76,F75-F76,12,ORD,MSP,41265.00000146784,72997.0,0.0,0.0,11:27 -> 20:16
I121,I121,F76,F76,116,LAS,MSP,63606.0,72997.0,0.0,0.0,17:40 -> 20:16
I122,I122,F77,F77,128,PHX,IAH,19860.0,27149.99999761009,0.0,0.0,05:31 -> 07:32
I123,I123,F78,F78,113,IAH,JFK,57922.0,68168.0,0.0,0.0,16:05 -> 18:56
I124,I124,F78-F79,F78-F79,15,IAH,DTW,57922.0,85073.99999940587,0.0,0.0,16:05 -> 23:37
I125,I125,F79,F79,113,JFK,DTW,81402.0,85073.99999940587,0.0,0.0,22:36 -> 23:37
I126,I126,F80,F80,96,SLC,DEN,20220.000000797776,23041.00000064509,6.450900400523096e-07,0.0,05:37 -> 06:24
I127,I127,F53-F81,F53-F81,19,LAX,LGA,19920.000000588774,66205.99999452072,0.0,0.0,05:32 -> 18:23
I128,I128,F81,F81,68,DEN,LGA,54511.0,66205.99999452072,0.0,0.0,15:08 -> 18:23
I129,I129,F81-F82,F81-F82,9,DEN,DFW,54511.0,78384.0,0.0,0.0,15:08 -> 21:46
I13,I13,F10-F11,F10-F11,19,MDW,DFW,20340.0,57806.99999857253,0.0,0.0,05:39 -> 16:03
I130,I130,F82,F82,87,LGA,DFW,68345.0,78384.0,0.0,0.0,18:59 -> 21:46
I131,I131,F83,F83,113,ORD,EWR,20760.000000685297,25952.999998934178,0.0,0.0,05:46 -> 07:12
I132,I132,F08-F84,F08-F84,10,IAH,ATL,20220.000001334945,59693.99999798099,0.0,0.0,05:37 -> 16:34
I133,I133,F83-F84,F83-F84,15,ORD,ATL,20760.000000685297,59693.99999798099,0.0,0.0,05:46 -> 16:34
I134,I134,F84,F84,103,EWR,ATL,54299.00000060878,59693.99999798099,0.0,0.0,15:04 -> 16:34
I135,I135,F02-F85,F02-F85,9,ORD,EWR,51312.00000115973,77825.0,0.0,0.0,14:15 -> 21:37
I136,I136,F40-F85,F40-F85,8,MIA,EWR,58586.00000097012,77825.0,0.0,0.0,16:16 -> 21:37
I137,I137,F85,F85,111,ATL,EWR,72430.0,77825.0,0.0,0.0,20:07 -> 21:37
I138,I138,F86,F86,85,JFK,ATL,28901.928906316025,34400.92889376791,8081.928893767908,11726.5,08:01 -> 09:33
I14,I14,F11,F11,110,CLT,DFW,51044.00000127452,57806.99999857253,0.0,0.0,14:10 -> 16:03
I140,I140,F86-F87,F86-F87,1,JFK,ORD,28901.928906316025,53630.68242575501,10310.68242575501,176.0,08:01 -> 14:53
I141,I141,F87,F87,5,ATL,ORD,49238.68242608261,53630.68242575501,10310.68242575501,880.0,13:40 -> 14:53
I142,I142,F34-F88,F34-F88,9,LAS,ATL,46983.31686482665,80535.99999999886,0.0,0.0,13:03 -> 22:22
I143,I143,F42-F88,F42-F88,9,SFO,ATL,36261.00000214701,80535.99999999886,0.0,0.0,10:04 -> 22:22
I144,I144,F88,F88,78,ORD,ATL,76144.0000007969,80535.99999999886,0.0,0.0,21:09 -> 22:22
I145,I145,F89,F89,113,BOS,DTW,20100.00000068533,24662.999998928815,0.0,0.0,05:35 -> 06:51
I146,I146,F89-F90,F89-F90,15,BOS,MIA,20100.00000068533,43230.999998338695,0.0,0.0,05:35 -> 12:00
I147,I147,F90,F90,100,DTW,MIA,34920.00000149565,43230.999998338695,0.0,0.0,09:42 -> 12:00
I148,I148,F17-F91,F17-F91,10,EWR,MDW,38752.00000133685,68879.0,0.0,0.0,10:45 -> 19:07
I149,I149,F90-F91,F90-F91,13,DTW,MDW,34920.00000149565,68879.0,0.0,0.0,09:42 -> 19:07
I15,I15,F11-F12,F11-F12,16,CLT,ATL,51044.00000127452,79325.99999866652,0.0,0.0,14:10 -> 22:02
I150,I150,F91,F91,105,MIA,MDW,60307.0,68879.0,0.0,0.0,16:45 -> 19:07
