Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,PHL,DFW,19920.0,29334.0,9414,7614,2092,120,96,05:32 -> 08:08,0
T00,F01,C01,DFW,EWR,46506.0,56424.0,9918,8118,2204,120,96,12:55 -> 15:40,0
T00,F02,C01,EWR,DFW,61433.0,71351.0,9918,8118,2204,120,96,17:03 -> 19:49,0
T01,F03,C02,EWR,ORD,28655.678629551367,33848.67862955137,5193,3393,1154,120,96,07:57 -> 09:24,1
T01,F04,C03,ORD,DEN,59601.0,66018.0,6417,4617,1426,120,96,16:33 -> 18:20,0
T01,F05,C03,DEN,BOS,68688.0,81355.0,12667,10867,2815,120,96,19:04 -> 22:35,0
T02,F06,C04,ATL,IAH,20760.0,25741.0,4981,3181,1107,160,128,05:46 -> 07:09,0
T02,F07,C05,IAH,ATL,44497.0,49478.0,4981,3181,1107,160,128,12:21 -> 13:44,0
T02,F08,C05,ATL,IAH,59173.0,64154.0,4981,3181,1107,160,128,16:26 -> 17:49,0
T02,F09,C06,IAH,ATL,81672.0,86653.0,4981,3181,1107,160,128,22:41 -> 00:04 (+1),0
T03,F10,C07,DFW,SEA,20100.0,32106.0,12006,10206,2668,200,160,05:35 -> 08:55,0
T03,F11,C07,SEA,LAX,44042.0,50954.0,6912,5112,1536,200,160,12:14 -> 14:09,0
T03,F12,C08,LAX,SEA,86039.0,92951.0,6912,5112,1536,200,160,23:53 -> 01:49 (+1),0
T04,F13,C09,PHL,DFW,20700.0,30114.0,9414,7614,2092,160,128,05:45 -> 08:21,0
T04,F14,C10,DFW,PHL,61075.54711316091,70489.54711316091,9414,7614,2092,160,128,16:57 -> 19:34,1
T04,F15,C10,PHL,ORD,71572.0,76468.0,4896,3096,1088,160,128,19:52 -> 21:14,0
T04,F16,C10,ORD,MIA,84184.0,92869.0,8685,6885,1930,160,128,23:23 -> 01:47 (+1),0
T05,F17,C11,DFW,ORD,20100.0,25905.0,5805,4005,1290,200,160,05:35 -> 07:11,0
T05,F18,C12,ORD,DFW,44452.0,50257.0,5805,4005,1290,200,160,12:20 -> 13:57,0
T05,F19,C12,DFW,SFO,53544.0,64123.0,10579,8779,2351,200,160,14:52 -> 17:48,0
T05,F20,C13,SFO,LAS,86209.0,89197.0,2988,1188,664,200,160,23:56 -> 00:46 (+1),0
T06,F21,C14,BOS,CLT,20220.0,25485.0,5265,3465,1170,200,160,05:37 -> 07:04,0
T06,F22,C15,CLT,MCO,56268.0,59665.0,3397,1597,755,200,160,15:37 -> 16:34,0
T06,F23,C16,MCO,JFK,84010.0,90854.0,6844,5044,1521,200,160,23:20 -> 01:14 (+1),0
T07,F24,C17,DTW,BWI,20040.0,22992.0,2952,1152,656,200,160,05:34 -> 06:23,0
T07,F25,C18,BWI,DTW,39364.0,42316.0,2952,1152,656,200,160,10:56 -> 11:45,0
T07,F26,C19,DTW,DFW,73870.0,81007.0,7137,5337,1586,200,160,20:31 -> 22:30,0
T08,F27,C20,ATL,DEN,20820.0,29487.0,8667,6867,1926,160,128,05:47 -> 08:11,0
T08,F28,C20,DEN,ATL,42611.0,51278.0,8667,6867,1926,160,128,11:50 -> 14:14,0
T08,F29,C21,ATL,LAS,82255.41217574474,94873.41217574474,12618,10818,2804,160,128,22:50 -> 02:21,1
T09,F30,C22,LAX,ORD,19920.0,32529.0,12609,10809,2802,160,128,05:32 -> 09:02,0
T09,F31,C02,ORD,EWR,34826.0,40019.0,5193,3393,1154,160,128,09:40 -> 11:06,0
T09,F32,C02,EWR,DTW,45563.0,49086.0,3523,1723,783,160,128,12:39 -> 13:38,0
T09,F33,C02,DTW,EWR,53263.0,56786.0,3523,1723,783,160,128,14:47 -> 15:46,0
T09,F34,C23,EWR,DTW,76622.0,80145.0,3523,1723,783,160,128,21:17 -> 22:15,0
T10,F35,C24,MSP,MCO,20700.0,30195.0,9495,7695,2110,160,128,05:45 -> 08:23,0
T10,F36,C24,MCO,DEN,43737.0,54924.0,11187,9387,2486,160,128,12:08 -> 15:15,0
T10,F37,C25,DEN,JFK,65392.0,77132.0,11740,9940,2609,160,128,18:09 -> 21:25,0
T11,F38,C26,ATL,PHX,20520.0,31990.0,11470,9670,2549,120,96,05:42 -> 08:53,0
T11,F39,C26,PHX,ATL,39269.0,50739.0,11470,9670,2549,120,96,10:54 -> 14:05,0
T11,F40,C27,ATL,PHX,71854.22552516287,83324.22552516287,11470,9670,2549,120,96,19:57 -> 23:08,1
T12,F41,C28,DTW,MSP,21000.0,24816.0,3816,2016,848,120,96,05:50 -> 06:53,0
T12,F42,C29,MSP,SEA,61559.763027517365,71657.76302751737,10098,8298,2244,120,96,17:05 -> 19:54,1
T13,F43,C30,LAX,ORD,20340.0,32949.0,12609,10809,2802,120,96,05:39 -> 09:09,0
T13,F44,C31,ORD,LAX,66116.0,78725.0,12609,10809,2802,120,96,18:21 -> 21:52,0
T14,F45,C32,LAX,SEA,20880.0,27792.0,6912,5112,1536,200,160,05:48 -> 07:43,0
T14,F46,C33,SEA,LAX,49095.0,56007.0,6912,5112,1536,200,160,13:38 -> 15:33,0
T15,F47,C34,LAX,ORD,20520.0,33129.0,12609,10809,2802,200,160,05:42 -> 09:12,0
T15,F48,C35,ORD,SEA,54538.0,66962.0,12424,10624,2761,200,160,15:08 -> 18:36,0
T16,F49,C36,MSP,LAX,19800.0,30901.0,11101,9301,2467,200,160,05:30 -> 08:35,0
T16,F50,C33,LAX,MSP,71110.15328875351,82211.15328875351,11101,9301,2467,200,160,19:45 -> 22:50,1
T17,F51,C37,MIA,DFW,20580.0,28689.0,8109,6309,1802,120,96,05:43 -> 07:58,0
T17,F52,C38,DFW,ORD,59138.0,64943.0,5805,4005,1290,120,96,16:25 -> 18:02,0
T18,F53,C39,CLT,PHL,19920.0,23164.0,3244,1444,721,200,160,05:32 -> 06:26,0
T18,F54,C39,PHL,CLT,30767.0,34011.0,3244,1444,721,200,160,08:32 -> 09:26,0
