Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,ATL,DFW,19800.0,25083.0,5283,3483,1174,200,160,05:30 -> 06:58,0
T00,F01,C00,DFW,ATL,42260.18548396178,47543.18548396178,5283,3483,1174,200,160,11:44 -> 13:12,1
T00,F02,C01,ATL,ORD,64068.0,68460.0,4392,2592,976,200,160,17:47 -> 19:01,0
T00,F03,C01,ORD,ATL,74560.23462934305,78952.23462934305,4392,2592,976,200,160,20:42 -> 21:55,1
T00,F04,C01,ATL,ORD,85495.0,89887.0,4392,2592,976,200,160,23:44 -> 00:58 (+1),0
T01,F05,C02,JFK,DEN,21531.91918986359,33271.91918986359,11740,9940,2609,160,128,05:58 -> 09:14,1
T01,F06,C03,DEN,ORD,61379.0,67796.0,6417,4617,1426,160,128,17:02 -> 18:49,0
T01,F07,C03,ORD,LAX,74913.0,87522.0,12609,10809,2802,160,128,20:48 -> 00:18 (+1),0
T02,F08,C04,JFK,DFW,20280.0,30333.0,10053,8253,2234,160,128,05:38 -> 08:25,0
T02,F09,C05,DFW,ATL,63319.38577494978,68602.38577494977,5283,3483,1174,160,128,17:35 -> 19:03,1
T02,F10,C06,ATL,ORD,76434.0,80826.0,4392,2592,976,160,128,21:13 -> 22:27,0
T03,F11,C07,DEN,DFW,20220.0,24864.0,4644,2844,1032,120,96,05:37 -> 06:54,0
T03,F12,C08,DFW,ATL,55915.0,61198.0,5283,3483,1174,120,96,15:31 -> 16:59,0
T03,F13,C09,ATL,JFK,78504.0,84003.0,5499,3699,1222,120,96,21:48 -> 23:20,0
T04,F14,C10,DEN,ORD,29664.472618889922,36081.47261888992,6417,4617,1426,200,160,08:14 -> 10:01,1
T04,F15,C11,ORD,DEN,53073.0,59490.0,6417,4617,1426,200,160,14:44 -> 16:31,0
T04,F16,C12,DEN,ATL,74267.0,82934.0,8667,6867,1926,200,160,20:37 -> 23:02,0
